RefDes,Side,Center X (mm),Center Y (mm),Rotate,Name,Value,Part No.,Product number,BOM number
C1,Top,12.362,22.971,180.0,CAP_0805,10u,340009,110312,110312
C4,Top,12.362,33.615,0.0,CAP_0805,10u,340009,110312,110312
C5,Top,19.398,33.876,0.0,CAP_0603,100n,340004,110312,110312
C34,Top,12.362,19.638,270.0,CAP_0603,100n,340004,110312,110312
C56,Top,12.362,24.873,180.0,CAP_0603,1u,340002,110312,110312
C57,Top,12.362,31.287,0.0,CAP_0603,1u,340002,110312,110312
R1,Top,18.382,24.224,180.0,RES_0603_M,22,300008,110312,110312
R2,Top,12.362,14.26,0.0,RES_0603_M,0,300015,110312,110312
R31,Top,18.382,22.954,0.0,RES_0603_M,22,300008,110312,110312
U3,Top,18.814,29.05,90.0,74HC74PW,,329411,110312,110312
U16,Top,12.362,28.046,270.0,MIC5504-3.3YM5-TR,,320001,110312,110312
X1,Top,18.814,18.309,0.0,357LB3I027M0000,,330002,110312,110312
