"RefDes";"Name";"Pattern";"Center X (mm)";"Center Y (mm)";"Side";"Rotate";"Value"
"C1";"CAP_0805";"CAP_0805";"12.362";"22.971";"Top";"180.0";"10u"
"C2";"CAP_0603";"CAP_0603";"12.362";"16.034";"Top";"180.0";"DNP"
"C4";"CAP_0805";"CAP_0805";"12.362";"33.615";"Top";"0.0";"10u"
"C5";"CAP_0603";"CAP_0603";"19.398";"33.876";"Top";"0.0";"100n"
"C34";"CAP_0603";"CAP_0603";"12.362";"19.638";"Top";"270.0";"100n"
"C56";"CAP_0603";"CAP_0603_M";"12.362";"24.873";"Top";"180.0";"1u"
"C57";"CAP_0603";"CAP_0603_M";"12.362";"31.287";"Top";"0.0";"1u"
"J1";"644456-4";"HDR-1x4T/2.54/10x2";"16.35";"11.524";"Top";"180.0";""
"R1";"RES_0603_M";"RES_0603_M";"18.382";"24.224";"Top";"180.0";"22"
"R2";"RES_0603_M";"RES_0603_M";"12.362";"14.26";"Top";"0.0";"0"
"R3";"RES_0603_M";"RES_0603_M";"18.814";"14.108";"Top";"180.0";"DNP"
"R31";"RES_0603_M";"RES_0603_M";"18.382";"22.954";"Top";"0.0";"22"
"U3";"74HC74PW";"TSSOP-14";"18.814";"29.05";"Top";"90.0";""
"U16";"MIC5504-3.3YM5-TR";"SOT23-5";"12.362";"28.046";"Top";"270.0";""
"X1";"357LB3I027M0000";"CSX-750V";"18.814";"18.309";"Top";"0.0";""
